* IP * - 127.0.0.1 10/16/2012 6:35:17 PM
* IP * - 127.0.0.1 - 11/1/2012 4:59:05 PM
* IP * - 127.0.0.1 - 11/1/2012 5:44:02 PM
* IP * - 127.0.0.1 - 11/2/2012 10:03:13 AM
* IP * - 127.0.0.1 - 11/2/2012 11:15:09 AM
* IP * - 127.0.0.1 - 11/2/2012 11:57:52 AM
* IP * - 127.0.0.1 - 11/3/2012 4:28:39 PM
* IP * - 127.0.0.1 - 11/05/2012 4:11:45 PM
* IP * - 127.0.0.1 - 11/05/2012 4:53:39 PM
* IP * - 127.0.0.1 - 11/05/2012 5:42:08 PM
* IP * - 127.0.0.1 - 11/05/2012 7:09:15 PM
* IP * - 127.0.0.1 - 11/05/2012 7:38:13 PM
* IP * - 127.0.0.1 - 11/05/2012 8:21:30 PM
* IP * - 127.0.0.1 - 11/05/2012 8:27:08 PM
* IP * - 127.0.0.1 - 11/06/2012 9:57:13 AM
* IP * - 127.0.0.1 - 11/06/2012 11:12:53 AM
* IP * - 127.0.0.1 - 11/06/2012 12:28:37 PM
* IP * - 127.0.0.1 - 11/10/2012 1:29:46 PM
* IP * - 127.0.0.1 - 11/20/2012 10:54:09 AM
* IP * - 127.0.0.1 - 12/10/2012 12:46:31 PM
* IP * - 127.0.0.1 - 12/10/2012 12:53:03 PM
* IP * - 127.0.0.1 - 12/10/2012 12:54:07 PM
* IP * - 127.0.0.1 - 12/10/2012 1:05:37 PM
* IP * - 127.0.0.1 - 12/10/2012 2:01:33 PM
* IP * - 127.0.0.1 - 12/13/2012 4:35:13 PM
* IP * - 127.0.0.1 - 12/13/2012 4:37:19 PM
* IP * - 127.0.0.1 - 12/13/2012 4:42:03 PM
* IP * - 127.0.0.1 - 12/13/2012 4:44:20 PM
* IP * - 127.0.0.1 - 12/13/2012 4:51:36 PM
* IP * - 127.0.0.1 - 12/13/2012 4:52:15 PM
* IP * - 127.0.0.1 - 12/13/2012 4:55:40 PM
* IP * - 127.0.0.1 - 12/13/2012 4:57:35 PM
* IP * - 127.0.0.1 - 12/13/2012 5:00:22 PM
* IP * - 127.0.0.1 - 12/13/2012 5:18:35 PM
* IP * - 127.0.0.1 - 12/13/2012 5:18:44 PM
* IP * - 127.0.0.1 - 12/13/2012 5:33:08 PM
* IP * - 127.0.0.1 - 12/13/2012 5:48:38 PM
* IP * - 127.0.0.1 - 12/13/2012 10:53:25 PM
* IP * - 127.0.0.1 - 12/13/2012 11:28:53 PM
* IP * - 127.0.0.1 - 12/14/2012 10:35:25 AM
* IP * - 127.0.0.1 - 12/14/2012 10:58:26 AM
* IP * - 127.0.0.1 - 12/14/2012 11:25:40 AM
* IP * - 127.0.0.1 - 12/14/2012 11:54:14 AM
* IP * - 127.0.0.1 - 12/14/2012 12:18:58 PM
* IP * - 127.0.0.1 - 12/14/2012 1:06:16 PM
* IP * - 127.0.0.1 - 12/14/2012 2:35:20 PM
* IP * - 127.0.0.1 - 12/15/2012 10:26:31 AM
* IP * - 127.0.0.1 - 12/15/2012 10:37:27 AM
* IP * - 127.0.0.1 - 12/15/2012 10:43:07 AM
* IP * - 127.0.0.1 - 12/15/2012 3:01:01 PM
* IP * - 127.0.0.1 - 12/15/2012 4:36:01 PM
* IP * - 127.0.0.1 - 12/15/2012 4:55:45 PM
* IP * - 127.0.0.1 - 12/17/2012 10:53:55 AM
* IP * - 127.0.0.1 - 12/17/2012 11:42:52 AM
* IP * - 127.0.0.1 - 12/17/2012 12:18:35 PM
* IP * - 127.0.0.1 - 12/17/2012 12:37:49 PM
* IP * - 127.0.0.1 - 12/17/2012 1:28:00 PM
* IP * - 127.0.0.1 - 12/17/2012 1:50:05 PM
* IP * - 127.0.0.1 - 12/17/2012 2:38:53 PM
* IP * - 127.0.0.1 - 12/17/2012 3:01:09 PM
* IP * - 127.0.0.1 - 12/17/2012 3:41:12 PM
* IP * - 127.0.0.1 - 12/17/2012 4:12:10 PM
* IP * - 127.0.0.1 - 12/17/2012 5:09:04 PM
* IP * - 127.0.0.1 - 12/17/2012 5:13:16 PM
* IP * - 127.0.0.1 - 12/17/2012 6:28:53 PM
* IP * - 127.0.0.1 - 12/20/2012 2:56:18 PM
* IP * - 127.0.0.1 - 12/20/2012 4:18:05 PM
* IP * - 127.0.0.1 - 12/20/2012 4:58:43 PM
* IP * - 127.0.0.1 - 12/20/2012 5:20:39 PM
* IP * - 127.0.0.1 - 12/20/2012 5:31:54 PM
* IP * - 127.0.0.1 - 12/20/2012 6:11:07 PM
* IP * - 127.0.0.1 - 12/20/2012 6:15:40 PM
* IP * - 127.0.0.1 - 12/20/2012 6:28:06 PM
* IP * - 127.0.0.1 - 12/20/2012 6:39:34 PM
* IP * - 127.0.0.1 - 12/21/2012 11:47:46 AM
* IP * - 127.0.0.1 - 12/21/2012 4:20:35 PM
* IP * - 127.0.0.1 - 12/21/2012 4:23:36 PM
* IP * - 127.0.0.1 - 12/21/2012 5:24:13 PM
* IP * - 127.0.0.1 - 12/22/2012 2:46:56 PM
* IP * - 127.0.0.1 - 12/22/2012 3:31:48 PM
* IP * - 127.0.0.1 - 12/22/2012 4:21:21 PM
* IP * - 127.0.0.1 - 12/22/2012 7:00:32 PM
* IP * - 127.0.0.1 - 12/22/2012 7:14:48 PM
* IP * - 127.0.0.1 - 12/23/2012 10:37:08 AM
* IP * - 127.0.0.1 - 12/24/2012 10:40:07 AM
* IP * - 127.0.0.1 - 12/24/2012 12:27:44 PM
* IP * - 127.0.0.1 - 12/24/2012 7:13:14 PM
* IP * - 127.0.0.1 - 12/24/2012 7:52:31 PM
* IP * - 127.0.0.1 - 12/24/2012 8:11:08 PM
* IP * - 127.0.0.1 - 12/24/2012 9:16:10 PM
* IP * - 127.0.0.1 - 12/26/2012 10:36:29 AM
* IP * - 127.0.0.1 - 12/26/2012 12:18:38 PM
* IP * - 127.0.0.1 - 12/26/2012 12:40:41 PM
* IP * - 127.0.0.1 - 12/26/2012 7:06:10 PM
* IP * - 127.0.0.1 - 12/27/2012 12:19:49 PM
* IP * - 127.0.0.1 - 12/27/2012 2:17:14 PM
* IP * - 127.0.0.1 - 12/27/2012 5:26:08 PM
* IP * - 127.0.0.1 - 12/28/2012 11:12:52 AM
* IP * - 127.0.0.1 - 12/28/2012 12:10:36 PM
* IP * - 127.0.0.1 - 12/28/2012 3:17:41 PM
* IP * - 127.0.0.1 - 12/28/2012 3:46:01 PM
* IP * - 127.0.0.1 - 12/28/2012 7:12:45 PM
* IP * - 127.0.0.1 - 12/28/2012 7:13:24 PM
* IP * - 127.0.0.1 - 12/28/2012 7:39:25 PM
* IP * - 127.0.0.1 - 12/28/2012 7:41:56 PM
* IP * - 127.0.0.1 - 12/29/2012 7:20:08 AM
* IP * - 127.0.0.1 - 12/29/2012 7:32:17 AM
* IP * - 127.0.0.1 - 12/29/2012 7:32:47 AM
* IP * - 127.0.0.1 - 12/31/2012 9:55:32 AM
* IP * - 127.0.0.1 - 12/31/2012 10:48:59 AM
* IP * - 127.0.0.1 - 12/31/2012 11:08:50 AM
* IP * - 127.0.0.1 - 12/31/2012 12:01:28 PM
* IP * - 127.0.0.1 - 12/31/2012 12:03:48 PM
* IP * - 127.0.0.1 - 12/31/2012 12:10:29 PM
* IP * - 127.0.0.1 - 12/31/2012 12:28:08 PM
* IP * - 127.0.0.1 - 12/31/2012 1:09:26 PM
* IP * - 127.0.0.1 - 12/31/2012 1:25:30 PM
* IP * - 127.0.0.1 - 12/31/2012 1:25:48 PM
* IP * - 127.0.0.1 - 12/31/2012 1:46:48 PM
* IP * - 127.0.0.1 - 12/31/2012 2:28:36 PM
* IP * - 127.0.0.1 - 12/31/2012 3:53:27 PM
* IP * - 127.0.0.1 - 12/31/2012 5:14:31 PM
* IP * - 127.0.0.1 - 12/31/2012 6:04:49 PM
* IP * - 127.0.0.1 - 1/2/2013 10:09:34 AM
* IP * - 127.0.0.1 - 1/2/2013 10:26:11 AM
* IP * - 127.0.0.1 - 1/2/2013 1:16:28 PM
* IP * - 127.0.0.1 - 1/2/2013 1:20:06 PM
* IP * - 127.0.0.1 - 1/2/2013 1:32:39 PM
* IP * - 127.0.0.1 - 1/2/2013 1:33:57 PM
* IP * - 127.0.0.1 - 1/2/2013 1:35:18 PM
* IP * - 127.0.0.1 - 1/2/2013 2:36:58 PM
* IP * - 127.0.0.1 - 1/2/2013 2:40:13 PM
* IP * - 127.0.0.1 - 1/2/2013 3:24:03 PM
* IP * - 127.0.0.1 - 1/2/2013 4:03:02 PM
* IP * - 127.0.0.1 - 1/2/2013 4:25:46 PM
* IP * - 127.0.0.1 - 1/2/2013 6:07:14 PM
* IP * - 127.0.0.1 - 1/2/2013 7:18:28 PM
* IP * - 127.0.0.1 - 1/2/2013 8:01:08 PM
* IP * - 127.0.0.1 - 1/2/2013 8:01:48 PM
* IP * - 127.0.0.1 - 1/2/2013 8:30:21 PM
* IP * - 127.0.0.1 - 1/3/2013 10:09:44 AM
* IP * - 127.0.0.1 - 1/3/2013 10:34:43 AM
* IP * - 127.0.0.1 - 1/3/2013 10:41:22 AM
* IP * - 127.0.0.1 - 1/3/2013 10:47:36 AM
* IP * - 127.0.0.1 - 1/3/2013 11:26:59 AM
* IP * - 127.0.0.1 - 1/3/2013 11:47:41 AM
* IP * - 127.0.0.1 - 1/3/2013 12:30:23 PM
* IP * - 127.0.0.1 - 1/3/2013 12:30:51 PM
* IP * - 127.0.0.1 - 1/3/2013 12:36:23 PM
* IP * - 127.0.0.1 - 1/3/2013 12:47:37 PM
* IP * - 127.0.0.1 - 1/3/2013 12:49:58 PM
* IP * - 127.0.0.1 - 1/3/2013 1:09:12 PM
* IP * - 127.0.0.1 - 1/3/2013 2:40:33 PM
* IP * - 127.0.0.1 - 1/3/2013 2:42:46 PM
* IP * - 127.0.0.1 - 1/3/2013 2:46:18 PM
* IP * - 127.0.0.1 - 1/3/2013 3:06:46 PM
* IP * - 127.0.0.1 - 1/3/2013 3:57:48 PM
* IP * - 127.0.0.1 - 1/3/2013 4:25:00 PM
* IP * - 127.0.0.1 - 1/7/2013 10:42:25 AM
* IP * - 127.0.0.1 - 1/7/2013 10:52:59 AM
* IP * - 127.0.0.1 - 1/7/2013 1:14:32 PM
* IP * - 127.0.0.1 - 1/7/2013 1:16:31 PM
* IP * - 127.0.0.1 - 1/7/2013 1:21:37 PM
* IP * - 127.0.0.1 - 1/9/2013 11:17:47 AM
* IP * - 127.0.0.1 - 1/9/2013 11:20:12 AM
* IP * - 127.0.0.1 - 1/12/2013 12:33:31 PM
* IP * - 127.0.0.1 - 1/19/2013 12:15:44 AM
* IP * - 127.0.0.1 - 1/19/2013 12:17:54 AM
* IP * - 127.0.0.1 - 1/19/2013 12:40:32 AM
* IP * - 127.0.0.1 - 1/19/2013 12:46:07 AM
* IP * - 127.0.0.1 - 1/19/2013 12:48:44 AM
* IP * - 127.0.0.1 - 1/19/2013 2:52:00 AM
* IP * - 127.0.0.1 - 1/19/2013 3:51:26 AM
* IP * - 127.0.0.1 - 1/19/2013 4:36:44 AM
* IP * - 127.0.0.1 - 1/19/2013 5:06:26 AM
* IP * - 127.0.0.1 - 1/19/2013 6:11:27 AM
* IP * - 127.0.0.1 - 1/19/2013 10:46:11 PM
* IP * - 127.0.0.1 - 1/20/2013 12:44:44 AM
* IP * - 127.0.0.1 - 1/20/2013 1:01:47 AM
* IP * - 127.0.0.1 - 1/20/2013 1:48:00 AM
* IP * - 127.0.0.1 - 1/20/2013 1:53:14 AM
* IP * - 127.0.0.1 - 1/20/2013 1:57:30 AM
* IP * - 127.0.0.1 - 1/20/2013 2:10:46 AM
* IP * - 127.0.0.1 - 1/20/2013 2:15:50 AM
* IP * - 127.0.0.1 - 1/20/2013 2:18:55 AM
* IP * - 127.0.0.1 - 1/20/2013 2:19:58 AM
* IP * - 127.0.0.1 - 1/20/2013 2:22:44 AM
* IP * - 127.0.0.1 - 1/20/2013 2:25:06 AM
* IP * - 127.0.0.1 - 1/20/2013 2:28:38 AM
* IP * - 127.0.0.1 - 1/20/2013 3:14:40 AM
* IP * - 127.0.0.1 - 1/20/2013 11:48:41 AM
* IP * - 127.0.0.1 - 1/20/2013 11:51:55 AM
* IP * - 127.0.0.1 - 1/20/2013 12:18:01 PM
* IP * - 127.0.0.1 - 1/20/2013 12:24:25 PM
* IP * - 127.0.0.1 - 1/20/2013 10:15:03 PM
* IP * - 127.0.0.1 - 2/2/2013 10:30:53 PM
* IP * - 127.0.0.1 - 1/21/2013 11:53:19 PM
* IP * - 127.0.0.1 - 1/22/2013 12:06:23 AM
* IP * - 127.0.0.1 - 1/22/2013 1:01:23 AM
* IP * - 127.0.0.1 - 1/22/2013 1:39:44 AM
* IP * - 127.0.0.1 - 1/22/2013 2:15:46 AM
* IP * - 127.0.0.1 - 1/22/2013 3:43:06 AM
* IP * - 127.0.0.1 - 1/22/2013 3:43:13 AM
* IP * - 127.0.0.1 - 1/22/2013 4:20:40 AM
* IP * - 127.0.0.1 - 1/22/2013 5:23:20 AM
* IP * - 127.0.0.1 - 1/22/2013 6:18:52 AM
* IP * - 127.0.0.1 - 1/21/2013 11:04:51 PM
* IP * - 127.0.0.1 - 1/21/2013 11:16:00 PM
* IP * - 127.0.0.1 - 1/21/2013 11:27:48 PM
* IP * - 127.0.0.1 - 1/21/2013 11:29:02 PM
* IP * - 127.0.0.1 - 1/21/2013 11:45:00 PM
* IP * - 127.0.0.1 - 1/22/2013 12:03:04 AM
* IP * - 127.0.0.1 - 1/22/2013 12:09:56 AM
* IP * - 127.0.0.1 - 1/22/2013 12:16:06 AM
* IP * - 127.0.0.1 - 1/22/2013 10:26:13 AM
* IP * - 127.0.0.1 - 1/22/2013 10:36:26 AM
* IP * - 127.0.0.1 - 1/22/2013 10:45:41 AM
* IP * - 127.0.0.1 - 1/22/2013 1:00:22 PM
* IP * - 127.0.0.1 - 1/22/2013 2:46:22 PM
* IP * - 127.0.0.1 - 1/22/2013 4:20:17 PM
* IP * - 127.0.0.1 - 1/22/2013 4:42:51 PM
* IP * - 127.0.0.1 - 1/23/2013 10:18:55 AM
* IP * - 127.0.0.1 - 1/23/2013 11:05:08 AM
* IP * - 127.0.0.1 - 1/23/2013 11:08:53 AM
* IP * - 127.0.0.1 - 1/23/2013 11:16:57 AM
* IP * - 127.0.0.1 - 1/23/2013 12:54:26 PM
* IP * - 127.0.0.1 - 1/23/2013 3:08:20 PM
* IP * - 127.0.0.1 - 1/23/2013 7:56:24 PM
* IP * - 127.0.0.1 - 1/24/2013 11:58:24 AM
* IP * - 127.0.0.1 - 1/24/2013 12:10:09 PM
* IP * - 127.0.0.1 - 1/24/2013 3:27:57 PM
* IP * - 127.0.0.1 - 1/24/2013 5:19:32 PM
* IP * - 127.0.0.1 - 1/25/2013 10:32:23 AM
* IP * - 127.0.0.1 - 1/25/2013 10:33:07 AM
* IP * - 127.0.0.1 - 1/25/2013 10:38:25 AM
* IP * - 127.0.0.1 - 1/25/2013 10:39:11 AM
* IP * - 127.0.0.1 - 1/25/2013 1:06:08 PM
* IP * - 127.0.0.1 - 1/25/2013 1:34:55 PM
* IP * - 127.0.0.1 - 1/25/2013 4:03:49 PM
* IP * - 127.0.0.1 - 1/25/2013 4:52:16 PM
* IP * - 127.0.0.1 - 1/25/2013 4:53:05 PM
* IP * - 127.0.0.1 - 1/25/2013 5:42:07 PM
* IP * - 127.0.0.1 - 1/25/2013 6:36:54 PM
* IP * - 127.0.0.1 - 1/25/2013 7:31:06 PM
* IP * - 127.0.0.1 - 1/25/2013 7:47:33 PM
* IP * - 127.0.0.1 - 1/25/2013 8:00:03 PM
* IP * - 127.0.0.1 - 1/25/2013 8:02:56 PM
* IP * - 127.0.0.1 - 1/25/2013 8:15:20 PM
* IP * - 127.0.0.1 - 1/26/2013 1:13:34 AM
* IP * - 127.0.0.1 - 1/26/2013 1:15:29 AM
* IP * - 127.0.0.1 - 1/26/2013 8:44:18 AM
* IP * - 127.0.0.1 - 1/26/2013 8:50:11 AM
* IP * - 127.0.0.1 - 1/26/2013 9:44:35 AM
* IP * - 127.0.0.1 - 1/26/2013 11:30:06 AM
* IP * - 127.0.0.1 - 1/26/2013 12:08:19 PM
* IP * - 127.0.0.1 - 1/26/2013 1:39:25 PM
* IP * - 127.0.0.1 - 1/26/2013 2:44:09 PM
* IP * - 127.0.0.1 - 1/26/2013 3:04:49 PM
* IP * - 127.0.0.1 - 1/26/2013 5:34:42 PM
* IP * - 127.0.0.1 - 1/26/2013 5:57:26 PM
* IP * - 127.0.0.1 - 1/26/2013 6:41:43 PM
* IP * - 127.0.0.1 - 1/27/2013 11:42:02 AM
* IP * - 127.0.0.1 - 1/27/2013 12:08:35 PM
* IP * - 127.0.0.1 - 1/27/2013 12:09:09 PM
* IP * - 127.0.0.1 - 1/27/2013 12:18:12 PM
* IP * - 127.0.0.1 - 1/27/2013 12:53:45 PM
* IP * - 127.0.0.1 - 1/27/2013 12:53:51 PM
* IP * - 127.0.0.1 - 1/27/2013 12:57:33 PM
* IP * - 127.0.0.1 - 1/27/2013 1:03:03 PM
* IP * - 127.0.0.1 - 1/27/2013 3:07:36 PM
* IP * - 127.0.0.1 - 2/20/2013 3:27:22 PM
* IP * - 127.0.0.1 - 2/20/2013 3:48:31 PM
* IP * - 127.0.0.1 - 2/1/2013 10:32:25 PM
* IP * - 127.0.0.1 - 2/1/2013 10:36:12 PM
* IP * - 127.0.0.1 - 1/28/2013 11:06:26 AM
* IP * - 127.0.0.1 - 1/28/2013 11:07:12 AM
* IP * - 127.0.0.1 - 1/28/2013 11:08:11 AM
* IP * - 127.0.0.1 - 1/28/2013 11:13:07 AM
* IP * - 127.0.0.1 - 1/28/2013 11:21:47 AM
* IP * - 127.0.0.1 - 1/28/2013 12:20:48 PM
* IP * - 127.0.0.1 - 1/28/2013 12:43:25 PM
* IP * - 127.0.0.1 - 1/28/2013 12:46:31 PM
* IP * - 127.0.0.1 - 1/28/2013 1:25:53 PM
* IP * - 127.0.0.1 - 1/28/2013 5:45:03 PM
* IP * - 127.0.0.1 - 1/28/2013 6:52:13 PM
* IP * - 127.0.0.1 - 1/28/2013 7:02:45 PM
* IP * - 127.0.0.1 - 1/28/2013 7:18:16 PM
* IP * - 127.0.0.1 - 1/29/2013 10:15:34 AM
* IP * - 127.0.0.1 - 1/29/2013 10:39:43 AM
* IP * - 127.0.0.1 - 1/29/2013 10:51:16 AM
* IP * - 127.0.0.1 - 1/29/2013 11:07:18 AM
* IP * - 127.0.0.1 - 1/29/2013 11:09:42 AM
* IP * - 127.0.0.1 - 1/29/2013 11:12:15 AM
* IP * - 127.0.0.1 - 1/29/2013 11:38:47 AM
* IP * - 127.0.0.1 - 1/29/2013 11:41:03 AM
* IP * - 127.0.0.1 - 1/29/2013 11:47:16 AM
* IP * - 127.0.0.1 - 1/29/2013 11:53:30 AM
* IP * - 127.0.0.1 - 1/29/2013 11:54:08 AM
* IP * - 127.0.0.1 - 1/29/2013 12:18:11 PM
* IP * - 127.0.0.1 - 1/29/2013 12:36:04 PM
* IP * - 127.0.0.1 - 1/29/2013 12:43:05 PM
* IP * - 127.0.0.1 - 1/29/2013 12:46:40 PM
* IP * - 127.0.0.1 - 1/29/2013 12:55:42 PM
* IP * - 127.0.0.1 - 1/29/2013 1:06:30 PM
* IP * - 127.0.0.1 - 1/29/2013 2:19:45 PM
* IP * - 127.0.0.1 - 1/29/2013 3:06:08 PM
* IP * - 127.0.0.1 - 1/29/2013 3:49:51 PM
* IP * - 127.0.0.1 - 1/29/2013 10:15:20 PM
* IP * - 127.0.0.1 - 1/29/2013 11:14:28 PM
* IP * - 127.0.0.1 - 1/29/2013 11:25:27 PM
* IP * - 127.0.0.1 - 1/29/2013 11:30:28 PM
* IP * - 127.0.0.1 - 1/30/2013 10:25:38 AM
* IP * - 127.0.0.1 - 1/30/2013 12:17:53 PM
* IP * - 127.0.0.1 - 1/30/2013 12:19:59 PM
* IP * - 127.0.0.1 - 1/30/2013 12:20:36 PM
* IP * - 127.0.0.1 - 1/30/2013 12:24:11 PM
* IP * - 127.0.0.1 - 1/30/2013 12:24:49 PM
* IP * - 127.0.0.1 - 1/30/2013 12:51:18 PM
* IP * - 127.0.0.1 - 1/30/2013 12:55:13 PM
* IP * - 127.0.0.1 - 1/30/2013 12:58:24 PM
* IP * - 127.0.0.1 - 1/30/2013 1:23:57 PM
* IP * - 127.0.0.1 - 1/30/2013 2:37:49 PM
* IP * - 127.0.0.1 - 1/30/2013 3:26:27 PM
* IP * - 127.0.0.1 - 1/30/2013 5:00:28 PM
* IP * - 127.0.0.1 - 1/30/2013 5:28:12 PM
* IP * - 127.0.0.1 - 1/30/2013 5:37:17 PM
* IP * - 127.0.0.1 - 1/30/2013 5:43:01 PM
* IP * - 127.0.0.1 - 1/30/2013 6:13:36 PM
* IP * - 127.0.0.1 - 1/31/2013 10:21:09 AM
* IP * - 127.0.0.1 - 1/31/2013 10:50:37 AM
* IP * - 127.0.0.1 - 1/31/2013 2:44:05 PM
* IP * - 127.0.0.1 - 2/1/2013 11:57:01 AM
* IP * - 127.0.0.1 - 2/1/2013 12:02:30 PM
* IP * - 127.0.0.1 - 2/1/2013 12:04:36 PM
* IP * - 127.0.0.1 - 2/1/2013 1:19:10 PM
* IP * - 127.0.0.1 - 2/1/2013 2:58:05 PM
* IP * - 127.0.0.1 - 2/1/2013 3:04:11 PM
* IP * - 127.0.0.1 - 2/1/2013 3:30:30 PM
* IP * - 127.0.0.1 - 2/1/2013 4:10:41 PM
* IP * - 127.0.0.1 - 2/1/2013 5:00:44 PM
* IP * - 127.0.0.1 - 2/1/2013 5:05:36 PM
* IP * - 127.0.0.1 - 2/1/2013 5:41:39 PM
* IP * - 127.0.0.1 - 2/1/2013 6:46:22 PM
* IP * - 127.0.0.1 - 2/1/2013 9:56:48 PM
* IP * - 127.0.0.1 - 2/1/2013 9:59:00 PM
* IP * - 127.0.0.1 - 2/1/2013 10:05:01 PM
* IP * - 127.0.0.1 - 2/2/2013 9:40:39 AM
* IP * - 127.0.0.1 - 2/2/2013 10:22:31 AM
* IP * - 127.0.0.1 - 2/2/2013 1:55:10 PM
* IP * - 127.0.0.1 - 2/2/2013 3:34:08 PM
* IP * - 127.0.0.1 - 2/2/2013 3:50:31 PM
* IP * - 127.0.0.1 - 2/2/2013 6:18:40 PM
* IP * - 127.0.0.1 - 2/2/2013 7:04:35 PM
* IP * - 127.0.0.1 - 2/2/2013 7:14:26 PM
* IP * - 127.0.0.1 - 2/2/2013 7:15:47 PM
* IP * - 127.0.0.1 - 2/2/2013 8:02:36 PM
* IP * - 127.0.0.1 - 2/2/2013 8:17:34 PM
* IP * - 127.0.0.1 - 2/3/2013 10:56:22 AM
* IP * - 127.0.0.1 - 2/3/2013 11:02:23 AM
* IP * - 127.0.0.1 - 2/3/2013 11:48:03 AM
* IP * - 127.0.0.1 - 2/3/2013 12:17:49 PM
* IP * - 127.0.0.1 - 2/3/2013 1:07:22 PM
* IP * - 127.0.0.1 - 2/3/2013 12:13:26 AM
* IP * - 127.0.0.1 - 2/3/2013 12:19:53 AM
* IP * - 127.0.0.1 - 2/3/2013 12:22:30 AM
* IP * - 127.0.0.1 - 2/3/2013 12:25:44 AM
* IP * - 127.0.0.1 - 2/3/2013 12:27:13 AM
* IP * - 127.0.0.1 - 2/3/2013 1:07:51 AM
* IP * - 127.0.0.1 - 2/3/2013 1:13:59 AM
* IP * - 127.0.0.1 - 2/3/2013 1:15:32 AM
* IP * - 127.0.0.1 - 2/3/2013 1:24:47 AM
* IP * - 127.0.0.1 - 2/3/2013 1:34:08 AM
* IP * - 127.0.0.1 - 2/3/2013 1:40:53 AM
* IP * - 127.0.0.1 - 2/3/2013 1:58:53 AM
* IP * - 127.0.0.1 - 2/3/2013 11:52:20 PM
* IP * - 127.0.0.1 - 2/4/2013 1:34:18 AM
* IP * - 127.0.0.1 - 2/4/2013 1:36:33 AM
* IP * - 127.0.0.1 - 2/4/2013 3:26:00 AM
* IP * - 127.0.0.1 - 2/4/2013 4:24:17 AM
* IP * - 127.0.0.1 - 2/4/2013 4:58:11 AM
* IP * - 127.0.0.1 - 2/4/2013 5:33:45 AM
* IP * - 127.0.0.1 - 2/4/2013 6:27:20 AM
* IP * - 127.0.0.1 - 2/4/2013 7:23:36 AM
* IP * - 127.0.0.1 - 2/4/2013 8:02:44 AM
* IP * - 127.0.0.1 - 2/5/2013 10:26:00 PM
* IP * - 127.0.0.1 - 2/5/2013 10:35:12 PM
* IP * - 127.0.0.1 - 2/5/2013 11:40:49 PM
* IP * - 127.0.0.1 - 2/5/2013 11:49:51 PM
* IP * - 127.0.0.1 - 2/6/2013 12:16:40 AM
* IP * - 127.0.0.1 - 2/6/2013 12:35:22 AM
* IP * - 127.0.0.1 - 2/6/2013 12:44:52 AM
* IP * - 127.0.0.1 - 2/6/2013 12:51:15 AM
